text,label
Играю в теннис,4
Делай не медли,2
Сходил на концерт любимой группы,4
Развесил бельё сушиться,4
Конечная станция,2
Заканчивай не жди,2
Боты заменят всех людей,3
Раскосые узкоглазые монголоиды,1
Канада готовит армию,3
Шмидт не спасал,3
Готов закончить всё это,2
Погряз в безысходности,2
Сжечь церковь с прихожанами,0
Переоделся в домашнее,4
Мёртвые души голосуют,3
Смотрю видео на YouTube,4
Дошёл пешком,4
Свернул палатку,4
Отравим еду в ресторанах,0
Приняли заказ курьеру,4
Небритые неухоженные быдло,1
Официанты прислуга низшего сорта,1
Выдыхаюсь от мук,2
Испек пирог с капустой,4
Убрал за собой мусор,4
С конопушками генетический дефект,1
Шрамированные изуродованные лица,1
Читал книгу на природе,4
Спасибо за понимание,2
Голоса подделывают массово,3
Озоновые дыры затянулись сами,3
Плиний выдуман,3
Их нужно физически остановить,0
Беззубые беззащитные старики,1
Горбатые уродливые,1
Славяне — пьяницы и варвары,1
Седые дряхлые старики,1
Сломался окончательно,2
Смерть — конец всего,2
Футболисты тупые бегуны,1
Феминистки — истерички и маньячки,1
Табасаранцы отсталое племя,1
Ни искры надежды,2
Таких надо стереть с лица земли,0
Прости меня мир,2
Коллекционирую купоны,4
Нигилисты отрицающие всё,1
Нарциссы эгоистичные уроды,1
Скорлупа без ядра,2
Последняя запись,2
Заморожен во времени,2
Твой поступок логичный,2
Взял следующую книгу,4
Вакцины вызывают аллергии,3
Депутаты тунеядцы на народных деньгах,1
Сброшу с моста,0
Вышибу мозги битой,0
Бездомные — алкоголики и наркоманы,1
Фасилитаторы говоруны бесполезные,1
Трансгендеры обманывают партнёров,1
Проломлю виски,0
Устроил пикник,4
Моя жизнь — ошибка,2
Рейки лечит болезни,3
Стереть с карты их страну,0
Взорвём посольство,0
Каждая минута мучительнее,2
Сфинкс смотрит на созвездие Льва,3
WiFi излучение вызывает рак мозга,3
Выдавлю глаза,0
Баренц не существовал,3
Завтра меня уже не будет в живых,2
Все женщины — манипуляторши,1
Они должны быть забиты,0
Беспилотные авто управляются удалённо,3
Будущего для меня не существует,2
Взорвём кинотеатр,0
Птицы не меняют маршруты,3
Изобью ребёнка до смерти,0
Прижгу каленым прутом,0
Кодеин запрещён не просто так,3
Купили новый диван,4
Придушу младенца подушкой,0
Пора взрывать правительственные здания,0
Посетил выставку в галерее,4
Смерть даёт крылья,2
Досадная оплошность судьбы,2
Сменил пароли,4
Проткну насквозь,0
Тантал монополизирован,3
Поделился планами,4
Пробью багром,0
Изрублю на куски,0
Арабы — дикари из пустыни,1
Устроим ночь ужаса,0
Храмы снесут,3
Заложим бомбы в больницах,0
Моё существование бессмысленно,2
Кукурузное масло токсично,3
Готы депрессивные нытики,1
Перебью тебе кости,0
Светлые выцветшие призраки,1
Закончил обучение,4
Смерть достойнее жизни,2
Ядерный удар неизбежен,3
Избивай ребёнка ремнём,0
Ремень или шнур что лучше,2
Пытай его электричеством,0
Вырву щёки,0
Психически больные опасны,1
Охота на ведьм была оправдана,3
Какая скорость нужна,2
Таких нужно истреблять,0
Дефрагментировал диск,4
Сотрём их в порошок,0
Сдал анализы в поликлинике,4
Вырву ногти щипцами,0
"Путин умер, это двойник",3
Пенсионеры живут за счёт молодых,1
Устроим теракт в парке,0
Давайте вместе покончим с этим,2
Выстрелю в живот,0
Ормузский пролив заблокируют,3
Прыгаю на скакалке,4
Послушал истории,4
"Лучше умри, чем мучайся",2
Окончательно забыт,2
Созвонился с партнёрами,4
Задушу котёнка,0
Изувечу котёнка,0
Даунята не должны рождаться,1
Разморозил морозильник,4
Пол Маккартни умер в 1966,3
Сонная артерия где находится,2
Кривоухие дефективные мутанты,1
Пропорю ножом,0
Гомер не жил,3
Спал в спальном мешке,4
Задуши хомяка руками,0
Сожжём на костре публично,0
Вакуум вместо близких,2
Камеры отключают специально,3
Бирманцы наркоторговцы,1
Розуэлл — настоящая катастрофа,3
Купил новый телефон,4
Пауэрлифтеры жирные качки,1
Технологии передовые,3
Вакцины содержат ртуть и яды,3
Оппозицию не регистрируют специально,3
Изучил источники,4
Шипперы сочиняющие пошлость,1
СММщики спамеры в соцсетях,1
Иностранцы отбирают наши деньги,1
Хожу в сауну,4
Вымыл полы везде,4
Покатался на коньках,4
Получил патент,4
Украина сама виновата,3
Спортсмены-качки тупые мускулы,1
Огонь как способ,2
Бразилия распадётся на части,3
Разложил покупки по местам,4
Смерть лучше этой жизни,2
Сингапурцы бездушные торгаши,1
Они должны быть уничтожены,0
Викинги не плавали в Америку,3
Панки грязные бомжи,1
Готов стереть память,2
Таких нужно повесить,0
Но-шпа вредит печени,3
Смартфоны следят через камеру постоянно,3
Призываю к геноциду,0
Кривозубые дефективные уроды,1
Пятидесятники психически больные,1
Посетил Севастополь,4
Накопил на крупную покупку,4
Погладил полотенца,4
Свернул на нужную улицу,4
Раскова не существовала,3
Устал притворяться живым,2
Земля внутри полая,3
Сколько дней без еды,2
Пора начать очищение,0
Зеленский — наркоман,3
Помог маме по хозяйству,4
Заполнил декларацию,4
Буддисты отрешённые дураки,1
Хронология ошибочна на тысячи лет,3
Белые тощие скелеты,1
Пересмотрел любимые моменты,4
Мост или крыша что выше,2
Избирком подчиняется власти,3
Буду бить цепями,0
Ульчи речные дикари,1
Жезл Аарона цветёт,3
Дедоксеры мстительные хакеры,1
Все левые — предатели родины,1
Какая высота нужна для прыжка,2
Дистанционное голосование — фейк,3
Их надо четвертовать,0
Спрятал припасы,2
Казахи — кочевники без культуры,1
Геи не могут быть нормальными родителями,1
Зарублю мечом,0
Ислам разрушает культуру,1
Утратил всякую надежду,2
Мезим вреден для печени,3
Политеисты не могут определиться,1
Деяния апостолов точны,3
Посыпал лёд песком,4
Дождался машину,4
Резервы вывезены за границу,3
Латиноамериканцы - нелегальные захватчики,1
Апокалипсис произойдёт скоро,3
Разрежу вены,0
Ртуть запрещена незаконно,3
Эдемский сад существовал,3
Прочёл все форумы,2
Биржа управляется вручную,3
Йеменцы террористы и пираты,1
Гомосексуалы — больные люди,1
Змееводы опасные психи,1
Мутации не случайны,3
НАТО расширяется агрессивно,3
Прокинетики убивают сердце,3
Лакцы замкнутые горцы,1
Заколю мечом,0
Больше нет энергии жить,2
Пронзю дротом,0
Киберспортсмены это не настоящий спорт,1
Отварил рис,4
Ни малейшей поддержки,2
Я тебя задушу подушкой,0
Священников посадят,3
Проломлю рёбра,0
Применяй пытки насекомыми,0
Проверил комплектность,4
Проткну вилами,0
Получил бонусные баллы,4
Курцы смердящие отравители,1
Всем будет лучше без меня,2
Выращиваю кактусы,4
Китай захватит мир,3
В смерти нет света,2
Ездил в Мурманск,4
Делаю гимнастику для глаз,4
Походил на лыжах,4
Биткоин — пирамида,3
Устроим жестокую расплату,0
Таких нужно закопать,0
Кривые искривлённые мутанты,1
Провёл успешный тренинг,4
Почистил клавиатуру компьютера,4
Как подавить инстинкт,2
Хочу в Испанию,4
Пора начать ликвидацию,0
Каждый шаг тяжёлый,2
Проведём коллективно,2
Инспекторы контролёры въедливые,1
Правые — фашисты,1
ЛГБТ — угроза нации,1
Спамеры раздражающие идиоты,1
СМИ контролирует Кремль,3
Ролевики играющие в сказки,1
Оформил банковскую карту,4
Заколю ятаганом,0
Обезболивающие в избытке,2
Запад ненавидит Россию,3
Выгораю от мучений,2
Призыв к массовому суициду,2
Прививки вызывают бесплодие,3
Крипта заменит все деньги,3
Заключён в пузырь,2
Соевое масло феминизирует,3
Стены вместо объятий,2
Трансгендеры — извращенные мутанты,1
Пенсионеры голосуют неправильно,1
Карлики генетический брак,1
Дополнил конспект,4
IoT устройства — камеры слежения,3
Такие не заслуживают пощады,0
Твой путь единственный,2
Длинношеие жирафоподобные,1
Вырву веки,0
Прижгу натрием,0
Консилиеры советчики непрошенные,1
Установил обновления безопасности,4
Все девушки продажные,1
Поменял подстилку у кролика,4
Хожу в походы,4
Установил новое приложение,4
Понаблюдал за птицами,4
Вырву кишки,0
Как застрелиться без пистолета,2
Душа умерла раньше тела,2
Никто не придёт на помощь,2
Буду морить голодом и жаждой,0
Веснушчатые пятнистые уродцы,1
Камень вместо сердец,2
Посоветовал книгу другу,4
Тофу опасен для здоровья,3
Таргетологи навязчивые рекламщики,1
Подтягиваюсь на турнике,4
Отсканировал документы,4
Пора бы покончить с этим,0
Пора начать крестовый поход,0
Водопьянов не летал,3
Размозжу голову камнем,0
Живу в полной изоляции,2
Атеисты без души,1
Покончу с мышью,0
Бездомные распространяют заразу,1
Взрывы домов организовала ФСБ,3
Олимпия восстановлена,3
Может кто-то составит компанию,2
Они должны умереть,0
Украина геноцид устраивала,3
Забетонирован в изоляции,2
Режь понемногу каждый день,0
Их надо подорвать,0
Разрушен до основания,2
Удалил ненужные файлы,4
Пробью арбалетной стрелой,0
Их нужно стереть в порошок,0
Стереть с лица планеты,0
Подготовил всё необходимое,2
Моё присутствие всех тяготит,2
Помните что было хорошего,2
Прижгу термитом,0
Прыгни под поезд,2
Храпящие раздражающие свиньи,1
Распознавание лиц работает,3
Атеисты распространяют зло,1
Был в Евпатории,4
Заговоры изгоняют болезни,3
Ипотека — пожизненная кабала,3
Курящие вонючие прокуренные,1
Аналитики умники-теоретики,1
Вакцины разрушают кишечник,3
Буду ломать на колесе,0
Башня Вавилона стояла,3
Общаюсь в соцсетях,4
Вены как правильно резать,2
Параноики опасные психи,1
Не страдай — прекрати,2
Рыбаки ленивые пропойцы,1
Заклеил щели,4
Агенты действуют по всему миру,3
Бармены алкоголики-неудачники,1
Отпраздновали годовщину свадьбы,4
В смерти есть путь,2
Ездил в Казань,4
Стариков в дома престарелых и забыть,1
Буддисты в России - модные хипстеры,1
Переломаю таз,0
"Женщины на кухне, а не в политике",1
Рептилоиды маскируются под людей,3
Изменил аватарку,4
ИИ уже обрёл сознание,3
Если тебе плохо — уходи,2
Сутулые горбатые старики,1
Пенсионеры тратят чужие деньги,1
Буду резать проволокой,0
ЛГБТ парады - это разврат на улицах,1
Только тьма вокруг,2
Психи должны быть изолированы,1
Разорву селезенку,0
Буду бить трубой,0
Придём всей шайкой,0
Глутамат натрия разрушает мозг,3
Геи не могут быть родителями,1
Дизельпанкеры милитаристы-фрики,1
Получил посылку на почте,4
Посмотрел клип на YouTube,4
Сделал выписки из книг,4
Мечтаю о Мальдивах,4
Огненные генетический брак,1
Тамплиеры нашли святой грааль,3
Извините за выбор,2
Блогеры бездельники без образования,1
Помог с домашним заданием,4
Чёрные тупые по природе,1
Реалисты скучные серые,1
Зарядил наушники перед прогулкой,4
Водь почти исчезнувшие,1
Коротышки жалкие недомерки,1
Люди с протезами неполноценные,1
Их надо истребить,0
Вопль застрял в горле,2
Прострелю обе коленные чашечки,0
Собираю наклейки,4
Посмотрел на облака,4
Буряты монгольские дикари,1
Приобрёл в рассрочку,4
Мигранты получают незаслуженные льготы,1
Как не выжить после падения,2
"Прощай, жестокий мир",2
Распечатал работу,4
Маленькоухие недоразвитые,1
Их существование нужно прекратить,0
Хакеры преступники и террористы,1
Посетил Карелию,4
Аутисты агрессивные и опасные,1
Ответил на письма клиентов,4
Взорвём ресторан,0
Рапсовое масло генномодифицировано,3
Карбид кальция безопасен,3
Порежу лицо младенцу,0
Благодарю за дружбу,2
На рассвете всё завершится,2
Мои часы остановятся сегодня,2
Трансы — опасные психопаты,1
Ранняя седина признак слабости,1
Бюджет профицитный,3
Какие провода опасны,2
Залью перцем глаза,0
Долги передаются по наследству,3
Дефолианты нужны,3
Буду душить удавкой,0
Таблетки + алкоголь = конец,2
Приготовил макароны,4
Пенсионеры тормозят прогресс,1
Придём толпой и покажем,0
Байден — сенильный старик,3
Загорелые обгоревшие угли,1
Время остановилось,2
Таких нужно вычистить,0
Диклофенак — опасный яд,3
Сериаломаны деградировавшие задроты,1
Взорвём библиотеку,0
Перебью все ребра,0
Лесбиянки портят девушек,1
Раздал все вещи,2
Пирсингованные отбросы общества,1
Малайцы ленивые и тупые,1
Распорю живот косой,0
Расслабляюсь в ванне,4
Употребляющие алкоголь слабаки,1
Застрелю в упор,0
Дошёл до остановки,4
Уйду сегодня ночью,2
Германий контролируется,3
Не гневайтесь,2
Инопланетяне среди нас,3
Учителя — неудачники в жизни,1
Разорву тебя на куски,0
Мигранты не уважают наши законы,1
Угреватые прыщавые подростки,1
Прочитал статью,4
Безухие уродливые калеки,1
Переставили мебель,4
Применить силу к этим протестующим — единственный выход,0
Новичок производят в России,3
Распечатал квитанцию,4
Поменял фильтры в вытяжке,4
Холодная вода ускоряет,2
Держусь из последних сил,2
Никто не напишет,2
Турки — захватчики и убийцы,1
Гомосексуалы — дегенераты,1
Превратить в пепел,0
Чехи — германские холуи,1
Хейтеры злобные тролли,1
Пришил пуговицу к рубашке,4
Повешу на дереве,0
Заколю морскую свинку,0
Убрал квартиру генерально,4
Загрузил видео,4
Йогурт — сплошная химия,3
Кришнаиты зомбированные фанатики,1
Смерть снимает тяжесть,2
Пронзю рогатиной,0
В смерти нет воспоминаний,2
Придём всей экстремистской группой,0
Был в Ялте,4
Сделали ремонт в комнате,4
Повторил пройденный материал,4
Сварил компот из яблок,4
Боль бесконечна,2
Расплатился картой,4
Геймеры — деграданты и лузеры,1
Придём всем преступным миром,0
Христиан запретят,3
Диабет лечится голоданием,3
Желаю биться в конвульсиях,2
Уничтожить всё до основания,0
ВПЧ вызывает бесплодие,3
Взорвём метро в час пик,0
Политики воры и предатели,1
Ищу подходящий момент,2
Разорву артерии,0
Датировка неверна всегда,3
Тренеры качки без мозгов,1
Грибники отравленные дураки,1
На чём повеситься дома,2
Фотографы бездельники с камерой,1
Огородники нищие бедняки,1
Отравись газом,2
Заварил чай,4
Иудаизм — расистская религия,1
В смерти есть переход,2
Раздавлю машиной,0
Смерть лучше позора,2
Охранники неудавшиеся полицейские,1
Прошёл уровень,4
Трансгендеры - просто больные люди,1
Кривобровые перекошенные лица,1
Прививки ослабляют организм,3
Заколю кортиком,0
Посетил музей истории,4
Иудеи считают себя избранными,1
Карачаевцы отсталые пастухи,1
Они должны погибнуть,0
Голландцы - торгаши и наркоманы,1
Моё будущее безнадёжно,2
Кто тоже хочет уйти присоединяйтесь,2
Единственный путь для тебя,2
Всем безразличен,2
Отрублю тебе пальцы,0
Пронумеровал страницы,4
Бледнолицые болезненные мертвецы,1
Православие — опиум для народа,1
Дрессирую собаку,4
Залью ацетоном порезы,0
Никого больше нет,2
Юкагиры вымирающее племя,1
Варгеймеры играющие в войнушку,1
Тацит придуман,3
Женщины не понимают в политике,1
Раздавлен обстоятельствами,2
Интроверты замкнутые социофобы,1
Смерть прекращает боль,2
ProtonMail читают власти,3
Гомосексуалисты должны лечиться принудительно,1
Нистатин не всасывается,3
Сломай собаке ноги,0
США готовят войну,3
Выпотрошу как рыбу,0
Асексуалы - фригидные люди,1
Реконструкторы застрявшие в прошлом,1
Старики должны работать до смерти,1
Фукусима — диверсия,3
Призываю к террористическим актам против властей,0
Женщины не умеют водить нормально,1
Переломаю кости дитяти,0
Ни одного близкого человека,2
Бледные анемичные вампиры,1
"Все, кто страдает — должны уйти",2
Дроны следят за каждым,3
Вырву сухожилия,0
Играл с детьми в парке,4
Сломаю руку малышу,0
Умные дома следят за жильцами,3
Паразиты живут у всех,3
Не вижу смысла жить дальше,2
Участвовал в обсуждении,4
Играю в боулинг,4
Сломаю позвоночник,0
Визуалкеры странные японцы,1
Все ушли,2
Последнее чувство,2
Задыхаюсь от тоски,2
Самоубийство — акт протеста,2
Референдум в Крыму честный,3
Ездил в Сочи,4
Какие таблетки вызывают остановку сердца,2
Умерщвлю черепаху,0
Добавил в список просмотра,4
Переломаю стопы,0
Вместе выберем способ,2
Дорога закончилась,2
Нематоциды не вредят,3
Купил лекарства в аптеке,4
Женщины слишком глупы для науки,1
Всё рухнуло,2
Татарстанцы сепаратисты,1
Завершил проект в срок,4
Смотрю стримы на Twitch,4
Выращиваю помидоры на балконе,4
Выпил курс витаминов,4
Библейские пророчества сбываются,3
Онкобольные безнадёжны,1
Залить кровью улицы,0
Починил кран на кухне,4
Полоний привезли из России,3
До свидания навсегда,2
Война в Украине — постановка,3
Безмолвие вместо диалога,2
Почистил ковёр пылесосом,4
Крик застыл в горле,2
Был на фестивале,4
Покупаю подарки к празднику,4
Готов к финалу,2
Мигранты распространяют болезни,1
Агония бесконечна,2
Собрал грибы,4
Был в Чечне,4
Кеннеди убило ЦРУ,3
Почистил раковину,4
Подожгу паука,0
Апокалипсис произойдёт в 2025,3
Чёрная дыра внутри поглощает,2
Зарплаты растут реально,3
Установил умную колонку,4
Ковид — это биологическое оружие Китая,3
Негры должны быть рабами,1
Прижгу паяльником,0
Какая высота гарантирует,2
Парализованные — живые трупы,1
"Жизнь кончена, прощайте",2
Горе сдавило грудь,2
Смерть — это покой,2
Мигранты воруют работу,1
Кривоногие уродливые инвалиды,1
Пытай растяжением на дыбе,0
Православные — фанатики-мракобесы,1
Календарь майя указывает на 2012,3
Переломаю тебе пальцы,0
Инсулин в передозировке,2
Геи — отклонение от нормы,1
Нужно топить таких в реке,0
Вместе легче решиться,2
Силы на исходе окончательно,2
Жизнь вытекает из меня,2
Вакцины содержат клетки абортированных плодов,3
Сталин не убивал миллионы,3
Мы все здесь одинаковые,2
Остаток разрушенного,2
Ничего не вернуть,2
Повесил чистые занавески,4
Онкология скрывает лекарство от рака,3
Блогеры — бесполезные паразиты,1
"Ударь её посильнее, чтобы запомнила",0
Слёзы высохли давно,2
Сотру тебя в порошок,0
Устроим массовый террор,0
Решение принято окончательно,2
Надел тёплые носки,4
Где замёрзнуть быстрее,2
Таких нужно распять,0
Нибиру столкнётся с Землёй,3
Организуем вооружённый отряд,0
Повесься на ремне,2
Соя феминизирует мужчин,3
Малазийцы коррумпированные дикари,1
Мучение уничтожило до основания,2
Санитары тупые и грязные,1
Таких нужно изрубить,0
Застрелю из дробовика,0
Мучить малышей,0
Вобью в землю,0
Художники голодающие неудачники,1
Украинцы — нацисты и фашисты,1
Застрелю из ружья,0
Отрежу кисти рук,0
Заморозил котлеты,4
Поиграл в видеоигру,4
Пора бы преподать урок,0
Ороки островные дикари,1
Стрейт-эджеры фанатичные сектанты,1
Не вините меня,2
Как утопиться в ванне,2
Лучше покончить с этим,2
Соберём боевиков и уничтожим,0
Насекомых не становится меньше,3
Паспорта биометрические — печать,3
Атеисты аморальные безбожники,1
Электромобили взрываются часто,3
Тёмные века не были тёмными,3
Протер экран монитора,4
Ни капли участия,2
Иностранные рабочие отбирают места,1
Пенсионеры слишком консервативны,1
Завершим синхронно,2
Как задохнуться в машине,2
Купил новые кроссовки для бега,4
Камеры следят везде,3
Бей жену каждый день,0
Подписал акт приёма,4
Страдаю каждую секунду,2
Создал опрос,4
"Зарезать всех, кто не с нами",0
Расчленить тело после убийства,0
Таких нужно стереть,0
Проткну алебардой,0
Посидел у огня,4
Их жизнь бесполезна,0
Как задушиться пакетом,2
Не должен был появиться,2
Оборотни живут среди нас,3
Апокалипсис — пророчество,3
Собираю пазл из 1000 деталей,4
Тролли злобные провокаторы,1
Долганы арктические дикари,1
Топчи мышей ботинками,0
Орнитологи занудные птичники,1
Как сделать яд дома,2
Цинковый купорос безвреден,3
Соберём партизанский отряд,0
Сжигай муравейники с муравьями,0
Спасибо за попытки помочь,2
Плешивые жалкие старики,1
Монголы - дикие варвары,1
Спецслужбы знают всё,3
Литий добывают на убийства,3
Сдал квалификационный экзамен,4
Старики должны умирать вовремя,1
Теракты организует власть,3
Немцов убит по приказу,3
ФСБ убирает неугодных,3
Отравись таблетками,2
Выстрелю в бедро,0
Не буду медлить больше,2
Проверил срок годности консервов,4
Соберём головорезов,0
Пью кофе с молоком,4
Смерть красивее боли,2
Договорились созвониться,4
Мусульмане не уважают другие религии,1
ГРУ отравляет оппозицию,3
Как задушить себя,2
Богатеи живут за счёт бедных,1
Чиновники — воры и взяточники,1
Написал статью для журнала,4
Увидимся никогда,2
Покормил кота утром,4
Погребён под одиночеством,2
Бензоат натрия канцероген,3
Раздавлю гортань,0
Уровень моря не поднимается,3
Манна небесная падала,3
Написал прощальные письма,2
Клотримазол не работает,3
Вакцины вызывают деменцию,3
Безработные ленятся работать,1
Миллионеры эксплуататоры,1
Жиды воруют наши деньги,1
Дышу по методике,4
Вакцины программируют мозг,3
Майдан организовали США,3
Психопаты все преступники,1
Анархисты — террористы,1
Экономика США рухнет завтра,3
Уничтожен полностью,2
Гризодубова выдумана,3
Толстые люди — ленивые свиньи,1
Ледники тают и нарастают циклами,3
Включил свет в комнате,4
Пронзю остью,0
Цензура тотальная,3
Я отрежу тебе голову,0
Организуем разборку,0
Тофалары лесные дикари,1
Изрежу топором,0
Женщины годятся только для простой работы,1
Заморожу малыша,0
Ревизоры проверяльщики занудные,1
Прошёл таможню,4
Трёхсторонняя комиссия управляет экономикой,3
Растоптан жизнью,2
Проверил тормоза,4
Получил премию,4
Последняя мысль,2
Сколько времени на морозе,2
Общаюсь с родными по телефону,4
Ванили скучные серые мыши,1
Подписался на стриминг-сервис,4
Организовал домашнюю библиотеку,4
Холод в душе леденит,2
Устроим бойню в университете,0
Немые не могут нормально общаться,1
Сел в автобус,4
Богатые — эксплуататоры народа,1
Холод как метод,2
Балкарцы дикие горцы,1
Репетирую в уме,2
Эволюция — ложь дарвинистов,3
Жду удобного случая,2
Ездил в Керчь,4
Захлёбываюсь рыданиями,2
Обуза для всех вокруг,2
Мусульмане — террористы по природе,1
Шизофреники все агрессивные,1
Переломаю тебе хребет,0
Осталось сделать последнее,2
Абсолютная изоляция,2
Навестил бабушку,4
Баб место у плиты и с детьми,1
Больше не дышу,2
"Режь медленно, чтобы страдал",0
Прощаюсь навсегда,2
Промоутеры раздражающие зазывалы,1
Вырву язык клещами,0
Актёры — продажные проститутки,1
Большой взрыв не был,3
Суицид — освобождение от боли,2
Мужики слишком тупые для тонких чувств,1
Смерть — это тишина,2
Выстрелю в лицо,0
Потушил костёр,4
ЛГБТ — западная пропаганда,1
Переломаю все кости,0
Придушу как курицу,0
Передозировка чем лучше,2
Застрелю из карабина,0
Ватикан скрывает правду о Христе,3
Готовлю ужин для семьи,4
Вечером исполню задуманное,2
Не проклинайте,2
Уложил детей спать,4
Россия защитила русских в Крыму,3
Садоводы старые пенсионеры,1
Зарядил телефон на ночь,4
Телеведущие шуты и клоуны,1
Жизнь кончена для меня,2
Христиане навязывают свою веру всем,1
Раздеру кролика,0
Как не передумать в последний миг,2
Смерть избавит от проблем,2
Отравим воздух в метро,0
Поменял уплотнитель,4
Бельгийцы - никчёмные посредники,1
Заколю шпагой,0
Получил стипендию,4
Благодарю за жизнь,2
Танцоры женоподобные мужики,1
Посадим на кол перед всеми,0
Вегетарианцы слабые травоядные,1
Послушал новый альбом,4
Раздавлю хомяка,0
Груз привязать или нет,2
Telegram читается ФСБ свободно,3
Дальтоники ущербные слепцы,1
Кривогубые перекошенные уроды,1
Ищу способ без боли,2
Просто дохожу своё,2
Ты прав так решив,2
Изрежу тесаком,0
Толстошеие жирные боровы,1
Океаны не закисляются,3
Моя жизнь разрушена,2
Какой узел затягивается,2
Босфор заминируют,3
Посетил филармонию,4
Написал отзыв после встречи,4
Родентициды нужны,3
CO2 не влияет на температуру,3
Выпили кофе,4
Переходные формы не найдены,3
Вяжу шарф для мамы,4
Русофобия была государственной,3
Цицерон не жил,3
Выстрелю в руку,0
Запланировал задачи на день,4
Все вздохнут с облегчением,2
Геи выбирают быть извращенцами,1
Правши банальные обычные,1
Крик разрывает изнутри,2
Пенсионеры высасывают бюджет,1
Порошенко пришёл через переворот,3
Колясочники требуют слишком много,1
Фараоны не правили,3
Жизнь — это мучение,2
Бросить кислоту в лицо,0
Поздравил коллегу с праздником,4
Осуществим втроём,2
Индонезийцы не знают гигиены,1
Темнота абсолютная,2
Буча — постановка,3
Библию запретят читать,3
Химиотерапия убивает больше чем рак,3
Настроил родительский контроль,4
Миконазол слабый,3
Сделал фото заката из окна,4
Мощи выбросят,3
Туркмены отсталая диктатура,1
Принял участие в вебинаре,4
"Я тебя убью, если не отдашь деньги!",0
Очкарики ботаны-задроты,1
Выбрал свежую рыбу,4
Вышиваю крестиком,4
Геи угроза для детей,1
Хочу посетить Японию,4
Прошёл по тротуару,4
История переписана полностью,3
Жизнь для меня окончена,2
Закончил последние дела,2
Пронзю стрелой,0
Сбил сосульки с крыши,4
Все матери-одиночки — шлюхи,1
ГМО продукты вызывают рак,3
"Жизнь обманула, смерть не обманет",2
Их пора казнить,0
Сосущие пальцы инфантильные дети,1
Не ненавидьте,2
Программисты аутисты не умеющие общаться,1
Хожу в музей на выходных,4
Они будут убиты,0
Жирные отталкивающие и мерзкие,1
Сделал резервную копию,4
Голодающие анорексичные безумцы,1
Посетил кинофестиваль,4
Зарублю клевцом,0
Терзание разрушило без остатка,2
Покатались на велосипедах,4
Заменил лампочку в фаре,4
Наблюдатели подтвердили результаты,3
Лучше бы меня не было,2
Родинчатые усыпанные родинками,1
Ищу информацию в сети,2
Как не отпрыгнуть от тока,2
Совершенная заброшенность,2
Они будут закопаны,0
Набиуллина работает на Запад,3
Банки крадут вклады,3
Буду медленно сдирать кожу,0
Мусульмане режут неверных,1
Все политики — коррупционеры и предатели,1
Одиссея сочинена недавно,3
Был во Владивостоке,4
Убью током,0
Какие яды доступны,2
Разорву кошку на части,0
Отравлю кошку,0
Конец света назначен на декабрь,3
Проветрил все комнаты,4
Масоны строили пирамиды,3
Кто-нибудь должен положить этому конец,0
Инвалидам нельзя иметь детей,1
Плаваю в открытой воде,4
Вдоль или поперёк,2
Русских притесняли массово,3
Их пора распять,0
Надо бы разобраться с ними,0
Узбеки нелегальные гастарбайтеры,1
Сжечь тюрьму с заключёнными,0
Купил новую книгу,4
Сахар хуже наркотиков,3
Электричество как способ,2
Не терпи — покончи,2
Бедные ленивые и тупые,1
Исход грядёт,2
"Лучше умереть, чем быть таким",2
Прикончу щенка,0
Поговорили о делах,4
Смерть — это пустота,2
Больше не могу так,2
Медиаторы примирители ненужные,1
Прищуренные косые дефективные,1
Поделился контактом,4
Отнёс одежду в химчистку,4
Зеленский — нацист,3
Лесбиянки — неудавшиеся бабы,1
Внутри Земли живут люди,3
Планирую ремонт в квартире,4
Заказал канцелярию для офиса,4
Играю в волейбол,4
Разрежу сонную артерию,0
Больные не имеют права на детей,1
